name,email,contact,confirmed
"CITRO","president@citrocuracao.com","Eunice Saleh",false
"Fundashon Alton Paas","info@fundashonaltonpaas.org","Alton Paas",false
"Fundashon Ambulans Deseo Korsou","info@fadk.info","Klaas Domburg",false
"Fundashon Bos di Hubentut","info@bosdihubentut.com","Anne-Sheila Albertoe",false
"Fundashon Kura di Arte","omayraleeflang@gmail.com","Omayra Leeflang",false
"Fundashon Lechi di Mama","fundashonlechimama@gmail.com","Martha Gillen",false
"Fundashon Mucha Pa Mucha","mde_miranda@hotmail.com","Migalda Rosalia",false
"Fundashon Negoshi Pikina","fnpoffice@gmail.com","Yules Kolf",false
"Instituto Buena Bista","tirzo@institutobuenabista.com","Tirzo Martha",true
"Mikve Israel Emanuel","mali@candybarrel.net","Mali Blanken",false
"Oudervereniging Totolika","boogiefromcur@gmail.com","Willy Harms",false
"Ronald McDonald House Charities Curacao","rolando.galarraga@rmhc-curacao.org","Rolando Galarraga",false
"Siloam St. Klein Jerusalem","robertendurkje@gmail.com","Robert de Vries",false
"Stichting Alzheimer Curacao","alzheimercuracao@gmail.com","Chanerika (Chani) Hellement",true
"Stichting CliniClowns Curacao","info@cliniclowns.cw","Jet Thoonen",false
"Stichting Hospice Arco Cavent","info@arcocavent.com","Richeline Martina-Joe",true
"Stichting Shimaruku","stichtingshimaruku@gmail.com","I. Christiaan",true
"Youth in Development Foundation (Brigada di Seguridat)","info@yidfoundation.com","Rashel Hawker",false
